rev_cd|rev_typ_desc|rev_catg_desc|rev_subcatg_desc|rev_short_desc
0579|ANCILLARY SERVICES|HOME HEALTH-HOME HEALTH AIDE|OTHER HOME HEALTH AIDE|AIDE/HOME HLTH/OTHER
0632|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|MULTIPLE SOURCE DRUG|DRUG/MULT
0943|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|CARDIAC REHABILITATION|CARDIAC REHAB
0900|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|GENERAL CLASSIFICATION|BH
0949|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|OTHER THERAPEUTIC SERVICES|ADDITIONAL RX SVS
0291|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|RENTAL|MED EQUIP/RENT
0545|ANCILLARY SERVICES|AMBULANCE|AIR AMBULANCE|AIR AMBULANCE
0367|ANCILLARY SERVICES|OPERATING ROOM SERVICES|KIDNEY TRANSPLANT|OR/KIDNEY TRANS
0527|ANCILLARY SERVICES|FREE-STANDING CLINIC|VISITING NURSE SERVICE(S) TO A MEMBERS HOME WHEN IN A HOME HEALTH SHORTAGE AREA|RHC/FQHC/HOME/VIS NURSE
0526|ANCILLARY SERVICES|FREE-STANDING CLINIC|URGENT CARE CLINIC|FR/STD URGENT CLINIC
0342|ANCILLARY SERVICES|NUCLEAR MEDICINE|NUCLEAR THERAPEUTIC PROCEDURES|NUC MED/RX
0972|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|RADIOLOGY - DIAGNOSTIC|PRO FEE/RAD/DX
0907|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|COMMUNITY BEHAVIORAL HEALTH PROGRAM (DAY TREATMENT)|BH/COMMUNITY
0658|ANCILLARY SERVICES|HOSPICE SERVICES|HOSPICE ROOM & BOARD - NURSING FACILITY|HOSPICE/R&B/NURS FAC
0635|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|ERYTHROEPOETIN (EPO) 10,000 OR MORE UNITS|DRUG/EPO/>=10,000 UNITS
0390|ANCILLARY SERVICES|BLOOD AND BLOOD  COMPONENT ADMINISTRATION, PROCESSING AND STORAGE|GENERAL CLASSIFICATION|BLOOD/STOR-PROC
0172|ACCOMMODATION CODES|NURSERY|NEWBORN - LEVEL II|NURSERY/LEVEL II
0740|ANCILLARY SERVICES|ELECTROENCEPHALOGRAM (EEG)|GENERAL CLASSIFICATION|EEG
0159|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|OTHER|OTHER/WARD
0442|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|HOURLY CHARGE|SPEECH PATH/HOUR
0321|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|ANGIOCARDIOGRAPHY|DX X-RAY/ANGIO
0404|ANCILLARY SERVICES|OTHER IMAGING SERVICES|POSITRON EMISSION TOMOGRAPHY|PET SCAN
1000|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|GENERAL CLASSIFICATION|BH R&B
0986|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|EEG|PRO FEE/EEG
0213|ACCOMMODATION CODES|CORONARY CARE|HEART TRANSPLANT|CCU/TRANSPLANT
0902|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|MILIEU THERAPY|BH/MILIEU THERAPY
0815|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|ALLOGENEIC STEM CELL ACQUISITION/DONOR SERVICES|STEM CELL
0391|ANCILLARY SERVICES|BLOOD AND BLOOD  COMPONENT ADMINISTRATION, PROCESSING AND STORAGE|BLOOD ADMINISTRATION (E.G. TRANSFUSIONS)|BLOOD/ADMIN.
0351|ANCILLARY SERVICES|COMPUTED TOMOGRAPHIC (CT) SCAN|HEAD SCAN|CT SCAN/HEAD
0319|ANCILLARY SERVICES|LABORATORY PATHOLOGICAL|OTHER|PATHOL/OTHER
0999|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|OTHER PATIENT CONVENIENCE ITEMS|PT CONVENCE/OTH
0549|ANCILLARY SERVICES|AMBULANCE|OTHER AMBULANCE|OTHER AMBULANCE
0600|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|GENERAL CLASSIFICATION|02/HOME HEALTH
0692|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|HOURLY CHARGE|PREHOSPICE/HOUR
0170|ACCOMMODATION CODES|NURSERY|GENERAL CLASSIFICATION|NURSERY
0944|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|DRUG REHABILITATION|DRUG REHAB
0024|BILLING DATA/CALCULATION|HEALTH INSURANCE PROSPECTIVE PAYMENT SYSTEM (HIPPS)|INPATIENT REHABILITATION FACILITY PROSPECTIVE PAYMENT SYSTEM|REHAB PPS (CMG)
2102|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|ACCUPRESSURE|ACCUPRESSURE
0761|ANCILLARY SERVICES|SPECIALTY SERVICES|TREATMENT ROOM|TREATMENT RM
0112|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|OB|OB/PVT
0722|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|DELIVERY|DELIVERY ROOM
0023|BILLING DATA/CALCULATION|HEALTH INSURANCE PROSPECTIVE PAYMENT SYSTEM (HIPPS)|HOME HEALTH PROSPECTIVE PAYMENT SYSTEM|HH PPS (HRG)
0339|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|OTHER|RX X-RAY/OTHER
0911|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|REHABILITATION|BH/REHAB
0206|ACCOMMODATION CODES|INTENSIVE CARE|INTERMEDIATE ICU|ICU/INTERMEDIATE
0945|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|ALCOHOL REHABILITATION|ALCOHOL REHAB
0822|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|HOME SUPPLIES|HEMO/HOME/SUPPL
0646|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|TRAINING, DISABLED PATIENT, CENTRAL LINE|TRNG DSBLPT/CENTRAL
0636|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|DRUGS REQUIRING DETAILED CODING|DRUGS/DETAIL CODE
0402|ANCILLARY SERVICES|OTHER IMAGING SERVICES|ULTRASOUND|ULTRASOUND
0480|ANCILLARY SERVICES|CARDIOLOGY|GENERAL CLASSIFICATION|CARDIOLOGY
0942|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|EDUCATION/TRAINING|EDUC/TRAINING
0922|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|ELECTROMYELOGRAM|EMG
0604|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|OXYGEN - PORTABLE ADD-ON|02/STAT EQUIP/PORT ADD-ON
0978|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|OCCUPATIONAL THERAPY|PRO FEE/OCUPA
0611|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRI - BRAIN (INCLUDING BRAINSTEM)|MRI - BRAIN
0273|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|TAKE HOME SUPPLIES|TAKEHOME SUPPLY
0429|ANCILLARY SERVICES|PHYSICAL THERAPY|OTHER PHYSICAL THERAPY|OTHER PHYS THERP
0432|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|HOURLY CHARGE|OCCUP THERP/HOUR
0904|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|ACTIVITY THERAPY|BH/ACTIVITY THERAPY
0387|ANCILLARY SERVICES|BLOOD|OTHER DERIVATIVES (CRYOPRICIPITATES)|BLOOD/DERIVATIVES
0101|ACCOMMODATION CODES|ALL INCLUSIVE RATE|ALL-INCLUSIVE ROOM AND BOARD|ALL INCL R&B
0946|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|COMPLEX MEDICAL EQUIPMENT ROUTINE|COMPLEX MED EQUIP-ROUT
0855|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|SUPPORT SERVICES|CCPD/HOME/SUPSERV
0401|ANCILLARY SERVICES|OTHER IMAGING SERVICES|DIAGNOSTIC MAMMOGRAPHY|MAMMOGRAPHY
0372|ANCILLARY SERVICES|ANESTHESIA|ANESTHESIA INCIDENT TO OTHER DIAGNOSTIC SERVICES|ANESTHE/INCIDENT ODX
0179|ACCOMMODATION CODES|NURSERY|OTHER|NURSERY/OTHER
0222|ANCILLARY SERVICES|SPECIAL CHARGES|TECHNICAL SUPPORT CHARGE|TECH SUPPT CHG
0829|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|OTHER HEMODIALYSIS OUTPATIENT|HEMO/HOME/OTHER
0843|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|HOME EQUIPMENT|CAPD/HOME/EQUIP
0901|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|ELECTROSHOCK TREATMENT|BH/ELECTRO SHOCK
0929|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|OTHER DIAGNOSTIC SERVICE|ADDITIONAL DX SVS
0362|ANCILLARY SERVICES|OPERATING ROOM SERVICES|ORGAN TRANSPLANT-OTHER THAN KIDNEY|OR/ORGAN TRANS
0293|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|PURCHASE OF USED DME|MED EQUIP/USED
0724|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|BIRTHING CENTER|BIRTHING CENTER
0143|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|PEDIATRIC|PEDS/PVT/DLX
0889|ANCILLARY SERVICES|MISCELLANEOUS DIALYSIS|MISC. DIALYSIS OTHER|DIALY/MISC/OTHER
0814|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|UNSUCCESSFUL ORGAN SEARCH DONOR BANK CHARGE|UNSUCCESSFUL SEARCH
0612|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRI - SPINAL CORD (INCLUDING SPINE)|MRI - SPINE
0233|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|ICU (INCLUDES TRANSITIONAL CARE)|NUR INCR/ICU
0371|ANCILLARY SERVICES|ANESTHESIA|ANESTHESIA INCIDENT TO RADIOLOGY|ANESTHE/INCIDENT RAD
0141|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|MEDICAL/SURGICAL/GYN|MED-SUR-GY/PVT/DLX
0193|ACCOMMODATION CODES|SUBACUTE CARE|SUBACUTE CARE - LEVEL III|SUBACUTE/LEVEL III
0914|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|INDIVIDUAL THERAPY|BH/INDIV RX
0524|ANCILLARY SERVICES|FREE-STANDING CLINIC|VISIT BY RHC/FQHC PRACTITIONER TO A MEMBER IN A COVERED PART A STAY AT SNF|RHC/FQHC/SNF/COVERED
0906|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|INTENSIVE OUTPATIENT SERVICES-CHEMICAL DEPENDENCY|BH/INTENS OP/CHEM DEP
0292|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|PURCHASE OF NEW DME|MED EQUIP/NEW
0541|ANCILLARY SERVICES|AMBULANCE|SUPPLIES|AMBUL/SUPPLY
2103|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|MASSAGE|MASSAGE
0655|ANCILLARY SERVICES|HOSPICE SERVICES|INPATIENT RESPITE CARE|HOSPICE/IP RESPITE
0146|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|DETOXIFICATION|DETOX/PVT/DLX
2106|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|HYPNOSIS|HYPNOSIS
0369|ANCILLARY SERVICES|OPERATING ROOM SERVICES|OTHER OPERATING ROOM SERVICES|OR/OTHER
0925|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|PREGNANCY TEST|PREG TEST
0941|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|RECREATIONAL THERAPY|RECREATION RX
0602|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|OXYGEN - STAT/EQUIP/SUPPLY UNDER 1 LPM|02/STAT EQUIP/UNDER 1 LPM
0255|ANCILLARY SERVICES|PHARMACY|DRUGS INCIDENT TO RADIOLOGY|DRUGS/INCIDENT RAD
0173|ACCOMMODATION CODES|NURSERY|NEWBORN - LEVEL III|NURSERY/LEVEL III
0560|ANCILLARY SERVICES|MEDICAL SOCIAL SERVICES|GENERAL CLASSIFICATION|MED SOCIAL SVS
0138|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|REHABILITATION|REHAB/3&4 BED
0110|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|GENERAL CLASSIFICATION|ROOM-BOARD/PVT
0913|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|PARTIAL HOSPITALIZATION - INTENSIVE|BH/PARTIAL INTENSIVE
0616|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRA - LOWER EXTREMITIES|MRA - LOWER EXT
0546|ANCILLARY SERVICES|AMBULANCE|NEO-NATAL AMBULANCE|AMBUL/NEO-NATAL
0920|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|GENERAL CLASSIFICATION|OTHER DX SVS
0489|ANCILLARY SERVICES|CARDIOLOGY|OTHER CARDIOLOGY|OTHER CARDIOL
0382|ANCILLARY SERVICES|BLOOD|WHOLE BLOOD|BLOOD/WHOLE
0137|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|ONCOLOGY|ONCOLOGY/3&4BED
2104|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|REFLEXOLOGY|REFLEXOLOGY
1002|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|RESIDENTIAL TREATMENT - CHEMICAL DEPENDENCY|BH R&B RES/CHEM DEP
0615|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRA - HEAD AND NECK|MRA - HEAD AND NECK
0529|ANCILLARY SERVICES|FREE-STANDING CLINIC|OTHER FREESTANDING CLINIC|OTHER FR/STD CLINIC
0449|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|OTHER SPEECH-LANGUAGE PATHOLOGY|OTHER SPEECH PAT
0912|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|PARTIAL HOSPITALIZATION - LESS INTENSIVE|BH/PARTIAL HOSP
0483|ANCILLARY SERVICES|CARDIOLOGY|ECHOCARDIOLOGY|ECHOCARDIOLOGY
0971|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|LABORATORY|PRO FEE/LAB
0823|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|HOME EQUIPMENT|HEMO/HOME/EQUIP
0333|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|RADIATION THERAPY|RADIATION RX
0128|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|REHABILITATION|REHAB/2BED
0151|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|MEDICAL/SURGICAL/GYN|MED-SUR-GY/WARD
0135|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|HOSPICE|HOSPICE/3&4BED
2100|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|GENERAL CLASSIFICATION|ALTTHERAPY
0821|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|HEMODIALYSIS/COMPOSITE OR OTHER RATE|HEMO/COMPOSITE
0649|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|OTHER IV THERAPY SERVICES|OTHER IV THERAPY SVC
0542|ANCILLARY SERVICES|AMBULANCE|MEDICAL TRANSPORT|AMBUL/MED TRANS
0882|ANCILLARY SERVICES|MISCELLANEOUS DIALYSIS|HOME DIALYSIS AID VISIT|HOME DIALYSIS AID VISIT
0569|ANCILLARY SERVICES|MEDICAL SOCIAL SERVICES|OTHER MED. SOC. SERVICES|MED SOC SERV/OTHER
0122|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|OB|OB/2BED
0790|ANCILLARY SERVICES|EXTRA-CORPOREAL SHOCK WAVE THERAPY|GENERAL CLASSIFICATION|ESWT
0975|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|OPERATING ROOM|PRO FEE/OR
0644|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|NONROUTINE NURSING, PERIPHERAL LINE|NONRT NURSING/PERIPHRL
0459|ANCILLARY SERVICES|EMERGENCY ROOM|OTHER EMERGENCY ROOM|OTHER EMER ROOM
0998|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|BEAUTY SHOP/BARBER|BARBER/BEAUTY
0142|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|OB|OB/PVT/DLX
3101|ANCILLARY SERVICES|ADULT CARE|ADULT DAY CARE, MEDICAL AND SOCIAL - HOURLY|ADULT MED/SOC HR
0500|ANCILLARY SERVICES|OUTPATIENT SERVICES|GENERAL CLASSIFICATION|OUTPATIENT SVS
0470|ANCILLARY SERVICES|AUDIOLOGY|GENERAL CLASSIFICATION|AUDIOLOGY
0330|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|GENERAL CLASSIFICATION|RX X-RAY
0256|ANCILLARY SERVICES|PHARMACY|EXPERIMENTAL DRUGS|DRUGS/EXPERIMT
0603|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|OXYGEN - STAT/EQUIP/OVER 4 LPM|02/STAT EQUIP/OVER 4 LPM
0981|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|EMERGENCY ROOM|PRO FEE/ER
0118|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|REHABILITATION|REHAB/PVT
0903|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|PLAY THERAPY|BH/PLAY THERAPY
0830|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|GENERAL CLASSIFICATION|PERITONEAL/OP OR HOME
0988|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|CONSULTATION|PRO FEE/CONSULT
1004|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|HALFWAY HOUSE|BH R&B HALFWAY HOUSE
0839|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|OTHER PERITONEAL DIALYSIS|PERTNL/HOME/OTHER
0634|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|ERYTHROEPOETIN (EPO) LESS THAN 10,000 UNITS|DRUG/EPO/<=10,000 UNITS
0450|ANCILLARY SERVICES|EMERGENCY ROOM|GENERAL CLASSIFICATION|EMERG ROOM
0117|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|ONCOLOGY|ONCOLOGY/PVT
0950|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES-EXTENSION OF 094X|RESERVED|
0985|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|EKG|PRO FEE/EKG
0153|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|PEDIATRIC|PEDS/WARD
0609|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|OXYGEN-OTHER|O2/OTHER
0842|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|HOME SUPPLIES|CAPD/HOME/SUPPL
0499|ANCILLARY SERVICES|AMBULATORY SURGICAL CARE|OTHER AMBULATORY SURGICAL CARE|OTHER AMBL SURG
0214|ACCOMMODATION CODES|CORONARY CARE|INTERMEDIATE CCU|CCU/INTERMEDIATE
0192|ACCOMMODATION CODES|SUBACUTE CARE|SUBACUTE CARE - LEVEL II|SUBACUTE/LEVEL II
0997|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|ADMISSION KITS|ADMIT KITS
0693|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|EVALUATION|PREHOSPICE/EVAL
3105|ANCILLARY SERVICES|ADULT CARE|ADULT FOSTER CARE - DAILY|ADULT FOSTER DAY
0905|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|INTENSIVE OUTPATIENT SERVICES-PSYCHIATRIC|BH/INTENS OP/PSYCH
0732|ANCILLARY SERVICES|ELECTROCARDIOGRAM (EKG/ECG)|TELEMETRY|TELEMETRY
0671|ANCILLARY SERVICES|OUTPATIENT SPECIAL RESIDENCE CHARGES|HOSPITAL BASED|OP SPEC RES/HOSP BASED
0948|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|PULMONARY REHABILITATION|PULMONARY REHAB
0852|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|HOME SUPPLIES|CCPD/HOME/SUPPL
0750|ANCILLARY SERVICES|GASTRO-INTESTINAL SERVICES|GENERAL CLASSIFICATION|GASTR-INTS SVS
0551|ANCILLARY SERVICES|SKILLED NURSING|VISIT CHARGE|SKILLED NURS/VISIT
0990|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|GENERAL CLASSIFICATION|PT CONVENIENCE
1005|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|GROUP HOME|BH R&B GROUP HOME
0824|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|MAINTENANCE 100%|HEMO/HOME/100%
0440|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|GENERAL CLASSIFICATION|SPEECH PATHOL
0640|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|GENERAL CLASSIFICATION|IV THERAPY SVC
0211|ACCOMMODATION CODES|CORONARY CARE|MYOCARDIAL INFARCTION|CCU/MYO INFARC
0589|ANCILLARY SERVICES|HOME HEALTH -OTHER VISITS|OTHER HOME HEALTH VISIT|HH-OTH VIS/OTHER
0242|ANCILLARY SERVICES|ALL INCLUSIVE ANCILLARY|COMPREHENSIVE|ALL INCL COMP
0254|ANCILLARY SERVICES|PHARMACY|DRUGS INCIDENT TO OTHER DIAGNOSTIC SERVICES|DRUGS/INCIDENT ODX
0548|ANCILLARY SERVICES|AMBULANCE|TELEPHONE TRANSMISSION EKG|AMBUL/TELEPHONIC EKG
0149|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|OTHER|OTHER/PVT/DLX
0022|BILLING DATA/CALCULATION|HEALTH INSURANCE PROSPECTIVE PAYMENT SYSTEM (HIPPS)|SKILLED NURSING FACILITY PROSPECTIVE PAYMENT SYSTEM|SNF PPS (RUG)
